person_id,spouse_id,marriage_id,union_status,m_number,is_old_style,m_day,m_month,m_year,church_id,place_id,m_admin_division,m_civil_place_details,m_civil_place_address,date_sort
15587,15586,M_15587,,1,,,,,,,,,,
15592,15593,M_15592,,1,,,,,,,,,,
15593,15592,M_15593,,1,,,,,,,,,,
15632,15633,M_15632,,1,,,,1567,,,,,,1567-00-00
15633,15632,M_15633,,1,,,,,,,,,,
15776,15777,M_15776,,1,,,,,,,,,,
15777,15776,M_15777,,1,,,,,,,,,,
15778,15779,M_15778,,1,,,,,,,,,,
15779,15778,M_15779,,1,,,,,,,,,,
15808,15809,M_15808,,1,,,,,,,,,,
15809,15808,M_15809,,1,,,,,,,,,,
16066,16067,M_16066_1,,1,,,,,,,,,,
16066,,M_16066_2,,2,,,,,,,,,,
16067,16066,M_16067,,1,,,,,,,,,,
16068,16069,M_16068,,1,,,,,,,,,,
16069,16068,M_16069,,1,,,,,,,,,,
16080,16081,M_16080,,1,,,,,,,,,,
16081,16080,M_16081,,1,,,,,,,,,,
16128,16129,M_16128,,1,,,,,,,,,,
16129,16128,M_16129,,1,,,,,,,,,,
16144,16145,M_16144,,1,,,,,,,,,,
16145,16144,M_16145,,1,,,,,,,,,,
16220,,M_16220_1,,1,,,,,,,,,,
16220,,M_16220_2,,2,,,,,,,,,,
16220,,M_16220_3,,3,,,,,,,,,,
16288,16289,M_16288,,1,,,,,,,,,,
16289,16288,M_16289,,1,,,,,,,,,,
16294,16295,M_16294_16295,,,,,,,,,,,,
16295,16294,M_16295_16294,,,,,,,,,,,,
16352,16353,M_16352_16353,,,,,,,,,,,,
16353,16352,M_16353_16352,,,,,,,,,,,,
29312,,M_29312_1,,1,,,,,,,,,,
29312,,M_29312_2,,2,,,,,,,,,,
29312,29313,M_29312_29313,,,,,,,,,,,,
29313,29312,M_29313_29312,,,,,,,,,,,,
29320,29321,M_29320_29321,,,,,,,,,,,,
29321,29320,M_29321_29320,,,,,,,,,,,,
29328,29329,M_29328_29329,,,,,,,,,,,,
29329,29328,M_29329_29328,,,,,,,,,,,,
29330,29331,M_29330_29331,,,,,,,,,,,,
29331,29330,M_29331_29330,,,,,,,,,,,,
29376,29377,M_29376_29377,,,,,,,,,,,,
29377,29376,M_29377_29376,,,,,,,,,,,,
29380,29381,M_29380_29381,,,,,,,,,,,,
29381,29380,M_29381_29380,,,,,,,,,,,,
29382,29383,M_29382_29383,,,,,,,,,,,,
29383,29382,M_29383_29382,,,,,,,,,,,,
29384,29385,M_29384_29385,,,,,,,,,,,,
29385,29384,M_29385_29384,,,,,,,,,,,,
29386,29387,M_29386_29387,,,,,,,,,,,,
29387,29386,M_29387_29386,,,,,,,,,,,,
29424,29425,M_29424_29425,,,,,,,,,,,,
29425,29424,M_29425_29424,,,,,,,,,,,,
30224,30225,M_30224,,1,,,,,,,,,,
30225,30224,M_30225,,1,,,,,,,,,,
30226,30227,M_30226,,1,,,,,,,,,,
30227,30226,M_30227,,1,,,,,,,,,,
30240,30241,M_30240,,1,,,,,,,,,,
30241,30240,M_30241,,1,,,,,,,,,,
30464,30465,M_30464,,1,,,,,,,,,,
30465,30464,M_30465,,1,,,,,,,,,,
30474,30475,M_30474,,1,,,,,,,,,,
30475,30474,M_30475,,1,,,,,,,,,,
30476,30477,M_30476,,1,,,,1555,,,,,,1555-00-00
30477,30476,M_30477,,1,,,,,,,,,,
30484,30485,M_30484,,1,,,,,,,,,,
30485,30484,M_30485,,1,,,,,,,,,,
30506,30507,M_30506,,1,,,,,,,,,,
30507,30506,M_30507,,1,,,,,,,,,,
30520,,M_30520_1,,1,,,,,,,,,,
30520,30521,M_30520_2,,2,,,,,,,,,,
30521,30520,M_30521,,1,,,,,,,,,,
30602,30603,M_30602,,1,,,,,,,,,,
30603,30602,M_30603,,1,,,,,,,,,,
30632,30633,M_30632,,1,,,,,,,,,,
30633,30632,M_30633,,1,,,,,,,,,,
