person_id,parents_bio,parents_step,parents_adopted,spouses
6 027,12054;,,,6026
6 056,12112;,,,6057
6 057,12114;,,,6056
6 060,12120;12121,,,6061
6 061,12122;,,,6060
6 062,,,,
6 080,12160;12161,,,6081
6 081,12162;12163,,,6080
6 082,12164;12165,,,6083
6 083,,,,6082
6 152,12304;,,,6153
6 153,12306;,,,6152
6 156,12312;12313,,,6157
6 157,12314;12315,,,6156
6 158,,,,
6 160,11808;,,,6161
6 161,,,,6160
6 164,12328;12329,,,6165
6 165,12330;,,,6164
6 166,12332;12333,,,
6 168,,,,6169
6 169,12338;12339,,,6168
6 170,,,,
6 208,12416;12417,,,6209
6 209,,,,6208
6 210,,,,
6 314,,,,
6 322,,,,
6 344,12688;12689,,,6345
6 345,12690;12691,,,6344
6 346,3082;3083,,,6347
6 347,12694;,,,6346
6 368,12736;12737,,,6369
6 369,,,,6368
6 370,,,,
6 372,12744;,,,
6 374,,,,
6 416,12832;12833,,,
6 420,6528;,,,
6 460,2964;2965,,,6461
6 461,12922;12923,,,6460
6 528,,,,
6 544,13088;,,,6545
6 545,5648;5649,,,6544
6 548,13096;,,,
6 550,,,,
6 552,11300;,,,
6 554,13108;13109,,,
6 592,13184;13185,,,6593
6 593,13186;,,,6592
6 594,,,,
6 596,,,,6597
6 597,13194;,,,6596
6 598,,,,
6 610,,,,
6 688,13376;13377,,,6689
6 689,13378;,,,6688
6 978,,,,
7 024,6420;,,,
7 040,,,,7041
7 041,,,,7040
7 584,15168;15169,,,7585
7 585,15170;,,,7584
7 586,,,,
7 680,15360;15361,,,7681
7 681,,,,7680
7 712,,,,7713
7 713,15426;,,,7712
7 714,,,,
7 864,15728;,,,7865
7 865,6160;6161,,,7864
8 000,16000;16001,,,8001
8 001,16002;,,,8000
8 012,16024;16025,,,8013
8 013,16026;,,,8012
8 014,16028;,,,8015
8 015,,,,8014
9 472,18944;18945,,,9473
9 473,,,,9472
9 488,,,,9489
9 489,,,,9488
9 504,19008;19009,,,9505
9 505,19010;,,,9504
9 506,19012;,,,
9 600,19200;19201,,,9601
9 601,19202;19203,,,9600
9 602,,,,
9 610,,,,9611
9 611,,,,9610
9 612,19224;19225,,,9613
9 613,,,,9612
9 614,,,,
9 616,19232;19233,,,9617
9 617,19224;19225,,,9616
9 618,,,,
9 620,,,,9621
9 621,,,,9620
9 622,,,,
9 696,19392;19393,,,9697
9 697,19394;19395,,,9696
9 700,19400;19401,,,9701
9 701,19232;19233,,,9700
11 264,,,,
11 268,,,,
11 300,11840;,,,
11 328,,,,
11 330,,,,11331
11 331,,,,11330
11 776,,,,
11 800,23600;,,,11801
11 801,11330;11331,,,11800
11 802,,,,
11 808,,,,
11 816,,,,
11 818,,,,
11 840,,,,
11 856,,,,
11 860,23720;23721,,,11861
11 861,23722;23723,,,11860
11 862,,,,
11 888,11268;,,,
11 890,23780;23781,,,11891
11 891,23782;,,,11890
12 036,24072;,,,
12 052,,,,12053
12 053,24106;,,,12052
12 054,,,,
12 112,24224;,,,
12 114,24228;,,,
12 120,24240;,,,12121
12 121,24242;24243,,,12120
12 122,,,,
12 160,,,,12161
12 161,,,,12160
12 162,24324;,,,12163
12 163,,,,12162
12 164,,,,12165
12 165,,,,12164
12 304,,,,
12 306,,,,
12 312,12162;12163,,,12313
12 313,,,,12312
12 314,11330;11331,,,12315
12 315,24630;24631,,,12314
12 328,24656;,,,12329
12 329,24658;24659,,,12328
12 330,,,,
12 332,,,,12333
12 333,24666;,,,12332
12 338,24676;,,,12339
12 339,,,,12338
12 416,,,,12417
12 417,,,,12416
12 688,6688;6689,,,12689
12 689,25378;25379,,,12688
12 690,25380;25381,,,12691
12 691,25382;25383,,,12690
12 694,,,,
12 736,25472;25473,,,12737
12 737,,,,12736
12 744,25488;,,,
12 832,25664;25665,,,12833
12 833,24106;,,,12832
12 922,25844;25845,,,12923
12 923,,,,12922
13 088,11264;,,,
13 096,,,,
13 108,11888;,,,13109
13 109,26218;,,,13108
13 184,26368;26369,,,13185
13 185,,,,13184
13 186,26372;26373,,,
13 194,,,,
13 376,26752;,,,13377
13 377,26754;,,,13376
13 378,,,,
15 168,,,,15169
15 169,30338;,,,15168
15 170,,,,
15 360,30720;30721,,,15361
15 361,30722;30723,,,60448;15360
15 426,,,,
15 728,31456;,,,
16 000,32000;15361,,,16001
16 001,32002;32003,,,16000
16 002,,,,
16 024,32048;,,,16025
16 025,32050;,,,16024
16 026,,,,
16 028,,,,
18 944,37888;,,,18945
18 945,,,,18944
19 008,38016;38017,,,19009
19 009,38018;38019,,,19008
19 010,,,,
19 012,,,,
19 200,38400;38401,,,19201
19 201,,,,19200
19 202,38404;,,,19203
19 203,38406;38407,,,19202
19 224,38448;38449,,,19225
19 225,38450;38451,,,19224
19 232,38464;38465,,,19233
19 233,;38467,,,19232
19 392,38784;38785,,,19393
19 393,38786;38787,,,19392
19 394,,,,19395
19 395,,,,19394
19 400,38800;38801,,,19401
19 401,,,,19400
23 600,,,,
23 720,,,,23721
23 721,47442;,,,23720
23 722,47444;,,,23723
23 723,47446;,,,23722
23 780,13376;13377,,,23781
23 781,47562;,,,23780
23 782,47564;,,,
24 072,,,,
24 106,48212;,,,
24 224,48448;,,,
24 228,,,,
24 240,,,,
24 242,;48485,,,24243
24 243,15360;15361,,,24242
24 324,,,,
24 630,49260;,,,24631
24 631,49262;,,,24630
24 656,,,,
24 658,,,,24659
24 659,49318;49319,,,24658
24 666,,,,
24 676,,,,
25 378,50756;50757,,,25379
25 379,,,,25378
25 380,50760;50761,,,25381
25 381,50762;,,,25380
25 382,50764;50765,,,25383
25 383,50766;50767,,,25382
25 472,13096;,,,25473
25 473,,,,25472
25 488,,,,
25 664,51328;51329,,,25665
25 665,,,,25664
25 844,51688;,,,25845
25 845,,,,25844
26 218,,,,
26 368,52732;,,,26369
26 369,52738;52739,,,26368
26 372,,,,26373
26 373,52746;,,,26372
26 752,,,,
26 754,,,,
30 338,,,,
30 720,61440;,,,30721
30 721,,,,96424;30720
30 722,61444;,,,30723
30 723,61446;,,,30722
31 456,,,,
32 000,64000;,,,15361
32 002,64004;64005,,,32003
32 003,,,,32002
32 048,64096;,,,
32 050,15360;15361,,,
37 888,75776;,,,
38 016,76032;,,,38017
38 017,,,,38016
38 018,,,,38019
38 019,,,,38018
38 400,76800;,,,38401
38 401,,,,38400
38 404,76808;76809,,,
38 406,,,,38407
38 407,76814;,,,38406
38 448,38784;38785,,,38449
38 449,76898;76899,,,38448
38 450,,,,38451
38 451,,,,38450
38 464,76928;76929,,,38465
38 465,76930;76931,,,38464
38 467,,,,
38 784,,,,38785
38 785,,,,38784
38 786,77572;,,,38787
38 787,,,,38786
38 800,77600;77601,,,38801
38 801,77602;77603,,,38800
47 442,94884;,,,
47 444,,,,
47 446,,,,
47 562,,,,
47 564,95128;,,,
48 212,96424;96425,,,
48 448,96896;,,,
48 485,,,,
49 260,98520;,,,
49 262,,,,
49 318,,,,49319
49 319,;98639,,,49318
50 756,,,,50757
50 757,101514;101515,,,203068;50756
50 760,,,,50761
50 761,101522;101523,,,50760
50 762,,,,
50 764,13376;13377,,,50765
50 765,101530;,,,50764
50 766,7680;7681,,,50767
50 767,101534;,,,50766
51 328,,,,51329
51 329,,,,51328
51 688,103376;,,,
52 732,,,,
52 738,105476;,,,52739
52 739,105478;,,,52738
52 746,,,,
61 440,122880;,,,
61 444,,,,
61 446,,,,
64 000,,,,
